6.338,31.232
7.623,27.94
8.891,28.486
9.634,25.88
9.725,24.052
9.967,0.107
10.626,26.336
10.784,24.112
10.786,24.37
11.086,20.988
11.177,4.446
11.394,3.258
11.394,3.264
11.544,1.567
11.676,22.998
12.421,23.18
12.458,17.655
12.477,17.742
12.987,2.021
13.23,23.361
13.434,14.587
14.009,6.224
14.109,5.054
14.142,2.157
14.476,4.669
14.507,3.847
14.661,11.771
14.685,11.615
15.589,4.759
15.857,19.199
16.022,4.667
16.593,7.728
16.661,7.372
17.097,17.643
19.083,15.127
21.382,12.245
22.864,11.1
25.241,9.588
27.736,8.351
29.845,7.114
31.288,6.426
33.296,5.006
34.144,4.731
34.644,5.141
35.347,6.42
35.561,5.871
36.473,5.596
37.847,5.045
38.59,4.724
40.231,3.899
40.78,3.578
42.195,3.074
43.002,2.752
44.458,2.293
46.298,2.473
46.726,3.661
46.829,4.399
46.934,4.392
48.03,4.39
49.463,3.976
52.427,2.83
53.981,2.05
54.958,1.775
56.842,1.36
61.21,1.125
61.316,1.185
62.248,1.489
63.145,1.625
64.671,2.171
65.616,2.718
66.01,3.083
66.186,2.991
67.799,2.349
70.5,1.34
70.846,1.216
70.923,1.522
73.175,1.016
76.018,1.377
77.616,1.146
77.832,1.1
78.131,1.145
